sample_id,split,oracle_scenario_type,current_submission_agent_hit,current_submission_agent_first_hit_turn,current_submission_agent_best_rank,yang_experiment_1_original_hit,yang_experiment_1_original_first_hit_turn,yang_experiment_1_original_best_rank,clean_specific_global_pagination_hit,clean_specific_global_pagination_first_hit_turn,clean_specific_global_pagination_best_rank,clean_specific_query_pagination_hit,clean_specific_query_pagination_first_hit_turn,clean_specific_query_pagination_best_rank,clean_other_query_pagination_hit,clean_other_query_pagination_first_hit_turn,clean_other_query_pagination_best_rank,clean_specific_no_pagination_hit,clean_specific_no_pagination_first_hit_turn,clean_specific_no_pagination_best_rank
public_0026,calibration,buying,True,2,6,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0027,evaluation,buying,True,2,6,True,1,8,True,1,8,True,1,8,True,1,8,True,1,8
public_0028,calibration,buying,False,,,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0029,evaluation,buying,True,2,1,True,2,1,True,2,1,True,2,1,True,2,1,True,2,1
public_0030,evaluation,buying,True,2,1,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0031,evaluation,buying,True,2,2,True,1,4,True,1,4,True,1,4,True,1,4,True,1,4
public_0032,evaluation,buying,True,1,3,True,1,5,True,1,5,True,1,5,True,1,5,True,1,5
public_0033,evaluation,browsing,True,3,1,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0034,evaluation,intent_override,True,4,1,True,4,1,True,4,1,True,4,1,True,4,1,True,4,1
public_0035,calibration,boundary,True,3,1,True,1,4,True,1,4,True,1,4,True,1,4,True,1,4
public_0036,evaluation,browsing,True,2,3,True,1,2,True,1,2,True,1,2,True,1,2,True,1,2
public_0037,evaluation,browsing,True,3,10,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0038,evaluation,intent_override,True,4,1,True,4,1,True,4,1,True,4,1,True,4,1,True,4,1
public_0039,calibration,browsing,True,2,1,True,2,1,True,2,1,True,2,1,True,2,1,True,2,1
public_0040,calibration,browsing,True,3,7,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0041,evaluation,boundary,True,3,1,True,1,6,True,1,6,True,1,6,True,1,6,True,1,6
public_0042,evaluation,buying,True,2,1,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0043,evaluation,browsing,True,2,1,True,1,4,True,1,4,True,1,4,True,1,4,True,1,4
public_0044,evaluation,buying,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0045,evaluation,buying,True,2,1,True,1,3,True,1,3,True,1,3,True,1,3,True,1,3
public_0046,evaluation,intent_override,True,4,1,True,4,1,True,4,1,True,4,1,True,4,1,True,4,1
public_0047,evaluation,browsing,True,2,3,True,2,1,True,2,2,True,2,2,True,2,1,True,2,2
public_0048,evaluation,browsing,True,2,2,True,2,1,True,2,1,True,2,3,True,2,3,True,2,3
public_0049,evaluation,browsing,True,2,4,True,2,5,True,3,1,True,3,1,True,2,6,True,3,1
public_0050,evaluation,boundary,True,3,10,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0051,evaluation,browsing,True,2,1,True,1,5,True,1,5,True,1,5,True,1,5,True,1,5
public_0052,calibration,intent_override,True,4,1,True,3,2,True,3,2,True,3,2,True,3,2,True,3,2
public_0053,calibration,buying,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0054,calibration,buying,True,2,3,True,2,1,True,2,1,True,2,1,True,3,1,True,2,1
public_0055,calibration,browsing,True,2,1,True,2,1,True,2,1,True,2,1,True,2,1,True,2,1
public_0056,evaluation,browsing,True,2,1,True,2,1,True,2,1,True,2,1,True,2,1,True,2,1
public_0057,evaluation,browsing,True,2,2,True,2,1,True,2,1,True,2,1,True,2,1,True,2,1
public_0058,evaluation,buying,True,2,5,True,2,1,True,2,1,True,2,2,True,2,2,True,2,2
public_0059,evaluation,browsing,True,1,2,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0060,calibration,browsing,True,2,1,True,1,3,True,1,3,True,1,3,True,1,3,True,1,3
public_0061,calibration,buying,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0062,evaluation,browsing,True,2,2,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0063,evaluation,browsing,True,2,1,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0064,evaluation,intent_override,True,4,2,True,4,1,True,4,1,True,4,1,True,4,1,True,4,1
public_0065,calibration,buying,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0066,evaluation,buying,True,2,1,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0067,evaluation,buying,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0068,evaluation,intent_override,True,3,8,True,3,2,True,3,3,True,3,3,True,3,3,True,3,3
public_0069,evaluation,browsing,True,2,1,True,1,3,True,1,3,True,1,3,True,1,3,True,1,3
public_0070,evaluation,browsing,True,1,7,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0071,evaluation,intent_override,True,4,1,True,4,1,True,4,1,True,4,1,True,4,1,True,4,1
public_0072,evaluation,intent_override,True,3,1,True,3,1,True,3,1,True,3,1,True,3,1,True,3,1
public_0073,evaluation,browsing,True,2,1,True,1,8,True,1,8,True,1,8,True,1,8,True,1,8
public_0074,calibration,browsing,True,2,4,True,2,8,True,2,8,True,3,1,True,7,2,False,,
public_0075,evaluation,browsing,True,3,1,True,1,2,True,1,2,True,1,2,True,1,2,True,1,2
public_0076,calibration,browsing,False,,,True,1,10,True,1,10,True,1,10,True,1,10,True,1,10
public_0077,evaluation,browsing,True,1,3,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0078,evaluation,intent_override,True,3,1,True,3,1,True,3,1,True,3,1,True,3,1,True,3,1
public_0079,evaluation,browsing,True,1,6,True,1,2,True,1,2,True,1,2,True,1,2,True,1,2
public_0080,evaluation,intent_override,True,4,1,True,4,1,True,4,1,True,4,1,True,4,1,True,4,1
public_0081,calibration,browsing,True,2,10,True,2,1,True,2,1,True,2,1,True,3,1,True,2,1
public_0082,evaluation,buying,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0083,calibration,buying,False,,,True,6,7,True,7,3,True,7,7,True,7,7,False,,
public_0084,evaluation,intent_override,True,4,1,True,4,1,True,4,1,True,4,1,True,4,1,True,4,1
public_0085,evaluation,browsing,True,2,1,True,1,3,True,1,3,True,1,3,True,1,3,True,1,3
public_0086,evaluation,browsing,True,2,1,True,2,1,True,2,1,True,2,1,True,2,1,True,2,1
public_0087,calibration,browsing,False,,,True,1,5,True,1,5,True,1,5,True,1,5,True,1,5
public_0088,evaluation,buying,True,1,5,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0089,evaluation,intent_override,True,3,2,True,3,1,True,3,1,True,3,1,True,3,1,True,3,1
public_0090,evaluation,buying,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0091,evaluation,browsing,True,2,1,True,2,1,True,2,1,True,2,1,True,2,1,True,2,1
public_0092,calibration,browsing,True,3,2,True,2,10,True,3,1,True,3,1,True,2,10,True,3,1
public_0093,evaluation,buying,True,2,1,True,1,3,True,1,3,True,1,3,True,1,3,True,1,3
public_0094,calibration,buying,True,2,1,True,1,3,True,1,3,True,1,3,True,1,3,True,1,3
public_0095,evaluation,buying,True,2,1,True,1,9,True,1,9,True,1,9,True,1,9,True,1,9
public_0096,evaluation,intent_override,True,4,5,True,3,2,True,3,4,True,3,4,True,3,2,True,3,4
public_0097,evaluation,buying,False,,,True,2,1,True,2,1,True,2,1,True,2,2,True,2,1
public_0098,calibration,browsing,True,2,1,True,1,3,True,1,3,True,1,3,True,1,3,True,1,3
public_0099,calibration,browsing,True,2,5,True,2,6,True,3,2,True,3,5,True,2,6,True,3,5
public_0100,evaluation,browsing,True,3,1,True,2,1,True,2,1,True,2,1,True,2,1,True,2,1
public_0101,evaluation,buying,True,1,7,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0102,evaluation,browsing,True,2,1,True,1,5,True,1,5,True,1,5,True,1,5,True,1,5
public_0103,calibration,intent_override,True,4,10,True,4,4,True,4,1,True,4,1,True,4,6,True,4,1
public_0104,evaluation,boundary,True,3,1,True,3,1,True,3,1,True,3,1,True,3,1,True,3,1
public_0105,evaluation,browsing,True,2,2,True,2,1,True,2,1,True,2,6,True,2,1,True,2,6
public_0106,evaluation,buying,True,2,1,True,2,1,True,2,7,True,3,1,True,2,2,True,3,1
public_0107,evaluation,buying,True,1,3,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0108,calibration,buying,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0109,evaluation,buying,True,2,1,True,2,1,True,2,1,True,2,1,True,2,1,True,2,1
public_0110,evaluation,browsing,True,2,1,True,1,6,True,1,6,True,1,6,True,1,6,True,1,6
public_0111,evaluation,buying,True,2,1,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0112,evaluation,boundary,True,3,6,True,1,9,True,1,9,True,1,9,True,1,9,True,1,9
public_0113,evaluation,browsing,True,2,3,True,2,1,True,2,1,True,2,1,True,2,1,True,2,1
public_0114,evaluation,buying,True,2,1,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0115,calibration,browsing,True,3,2,True,1,3,True,1,3,True,1,3,True,1,3,True,1,3
public_0116,calibration,buying,True,1,10,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0117,evaluation,buying,True,1,6,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0118,calibration,buying,True,2,1,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0119,evaluation,buying,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0120,calibration,browsing,True,3,7,True,1,5,True,1,5,True,1,5,True,1,5,True,1,5
public_0121,evaluation,browsing,True,3,1,True,1,4,True,1,4,True,1,4,True,1,4,True,1,4
public_0122,evaluation,browsing,True,2,1,True,1,5,True,1,5,True,1,5,True,1,5,True,1,5
public_0123,evaluation,intent_override,True,3,1,True,3,1,True,3,1,True,3,1,True,3,1,True,3,1
public_0124,evaluation,buying,True,2,1,True,2,1,True,2,1,True,2,1,True,2,1,True,2,1
public_0125,calibration,intent_override,True,4,3,True,4,1,True,4,1,True,4,1,True,4,1,True,4,1
public_0126,calibration,browsing,True,3,5,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0127,evaluation,browsing,True,2,5,True,2,4,True,2,1,True,2,6,True,2,5,True,2,6
public_0128,evaluation,browsing,True,2,1,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0129,evaluation,buying,True,2,1,True,2,1,True,2,1,True,3,1,True,2,1,True,3,1
public_0130,evaluation,intent_override,True,3,4,True,3,2,True,3,1,True,3,1,True,3,2,True,3,1
public_0131,evaluation,boundary,True,3,1,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0132,calibration,buying,True,2,1,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0133,evaluation,buying,False,,,True,2,1,True,2,1,True,2,2,True,2,1,True,2,2
public_0134,calibration,browsing,True,1,2,True,2,1,True,2,1,True,2,1,True,2,1,True,2,1
public_0135,evaluation,buying,True,3,1,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0136,evaluation,buying,True,1,4,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0137,evaluation,browsing,True,3,10,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0138,evaluation,browsing,True,3,1,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0139,evaluation,browsing,True,2,1,True,2,1,True,2,1,True,2,1,True,2,1,True,2,1
public_0140,evaluation,browsing,True,2,2,True,3,1,True,3,7,True,4,2,True,3,5,False,,
public_0141,evaluation,browsing,True,1,6,True,1,10,True,1,10,True,1,10,True,1,10,True,1,10
public_0142,evaluation,intent_override,True,4,1,True,4,1,True,4,1,True,4,1,True,4,1,True,4,1
public_0143,evaluation,buying,True,2,1,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0144,evaluation,intent_override,False,,,True,4,4,True,4,7,True,4,7,True,4,7,True,4,7
public_0145,evaluation,buying,True,2,6,True,1,5,True,1,5,True,1,5,True,1,5,True,1,5
public_0146,evaluation,buying,True,2,1,True,2,1,True,2,1,True,2,3,True,2,1,True,2,3
public_0147,calibration,browsing,True,2,1,True,1,3,True,1,3,True,1,3,True,1,3,True,1,3
public_0148,evaluation,buying,True,1,3,True,1,2,True,1,2,True,1,2,True,1,2,True,1,2
public_0149,evaluation,buying,True,3,3,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0150,evaluation,browsing,True,1,5,True,1,2,True,1,2,True,1,2,True,1,2,True,1,2
public_0151,evaluation,browsing,True,3,1,True,3,1,True,2,3,True,2,5,True,3,1,True,2,5
public_0152,calibration,buying,True,2,1,True,1,2,True,1,2,True,1,2,True,1,2,True,1,2
public_0153,calibration,browsing,True,2,2,True,1,2,True,1,2,True,1,2,True,1,2,True,1,2
public_0154,calibration,buying,True,2,3,True,3,8,True,3,3,True,3,4,True,4,9,False,,
public_0155,calibration,buying,True,1,3,True,1,2,True,1,2,True,1,2,True,1,2,True,1,2
public_0156,evaluation,buying,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0157,evaluation,buying,True,1,9,True,1,2,True,1,2,True,1,2,True,1,2,True,1,2
public_0158,evaluation,browsing,True,1,4,True,2,1,True,2,1,True,2,1,True,2,1,True,2,1
public_0159,evaluation,buying,True,2,2,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0160,calibration,buying,True,1,5,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0161,evaluation,buying,True,3,7,True,1,3,True,1,3,True,1,3,True,1,3,True,1,3
public_0162,evaluation,browsing,True,3,3,True,2,1,True,2,1,True,2,1,True,2,1,True,2,1
public_0163,evaluation,buying,True,2,1,True,1,2,True,1,2,True,1,2,True,1,2,True,1,2
public_0164,evaluation,browsing,True,1,5,True,1,3,True,1,3,True,1,3,True,1,3,True,1,3
public_0165,calibration,buying,True,2,1,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0166,calibration,intent_override,True,4,1,True,4,1,True,4,1,True,4,1,True,4,1,True,4,1
public_0167,evaluation,browsing,True,2,2,True,1,5,True,1,5,True,1,5,True,1,5,True,1,5
public_0168,evaluation,buying,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0169,calibration,boundary,True,3,1,True,1,5,True,1,5,True,1,5,True,1,5,True,1,5
public_0170,calibration,browsing,True,2,9,True,1,2,True,1,2,True,1,2,True,1,2,True,1,2
public_0171,evaluation,buying,True,2,1,True,2,1,True,2,1,True,2,1,True,2,1,True,2,1
public_0172,evaluation,browsing,True,2,2,True,2,1,True,2,1,True,4,1,True,2,1,False,,
public_0173,evaluation,browsing,True,3,1,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0174,evaluation,buying,False,,,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0175,evaluation,browsing,True,3,9,True,1,3,True,1,3,True,1,3,True,1,3,True,1,3
public_0176,calibration,browsing,True,2,1,True,2,1,True,2,1,True,2,1,True,2,1,True,2,1
public_0177,evaluation,intent_override,True,4,1,True,4,1,True,4,1,True,4,1,True,4,1,True,4,1
public_0178,evaluation,buying,True,3,8,True,3,1,True,4,1,True,4,1,True,3,1,True,4,1
public_0179,calibration,buying,True,2,2,True,2,2,True,2,4,True,2,4,True,2,2,True,2,4
public_0180,evaluation,boundary,True,3,5,True,2,1,True,2,1,True,2,1,True,2,1,False,,
public_0181,calibration,browsing,True,2,1,True,1,3,True,1,3,True,1,3,True,1,3,True,1,3
public_0182,evaluation,browsing,True,1,4,True,1,4,True,1,4,True,1,4,True,1,4,True,1,4
public_0183,evaluation,intent_override,True,4,1,True,4,1,True,4,1,True,4,1,True,4,1,True,4,1
public_0184,calibration,browsing,True,3,2,True,2,2,True,2,6,True,2,6,True,2,2,True,2,6
public_0185,calibration,buying,True,1,2,True,1,2,True,1,2,True,1,2,True,1,2,True,1,2
public_0186,calibration,intent_override,True,4,1,True,3,1,True,3,1,True,3,1,True,3,1,True,3,1
public_0187,calibration,boundary,True,4,1,True,4,1,True,4,9,True,5,3,True,4,1,False,,
public_0188,calibration,buying,True,2,1,True,1,6,True,1,6,True,1,6,True,1,6,True,1,6
public_0189,evaluation,buying,True,2,3,True,1,2,True,1,2,True,1,2,True,1,2,True,1,2
public_0190,evaluation,buying,True,2,1,True,1,2,True,1,2,True,1,2,True,1,2,True,1,2
public_0191,evaluation,browsing,True,2,1,True,2,1,True,2,1,True,2,1,True,2,1,True,2,1
public_0192,evaluation,boundary,True,3,1,True,1,5,True,1,5,True,1,5,True,1,5,True,1,5
public_0193,evaluation,buying,True,1,6,True,1,3,True,1,3,True,1,3,True,1,3,True,1,3
public_0194,evaluation,buying,True,2,9,True,1,4,True,1,4,True,1,4,True,1,4,True,1,4
public_0195,evaluation,browsing,True,2,1,True,2,2,True,3,1,True,3,1,True,2,2,True,3,1
public_0196,calibration,browsing,True,2,1,True,2,1,True,2,1,True,2,1,True,2,1,True,2,1
public_0197,evaluation,intent_override,True,4,1,True,4,1,True,4,1,True,4,1,True,4,1,True,4,1
public_0198,calibration,intent_override,False,,,True,8,7,True,10,2,True,10,2,False,,,False,,
public_0199,evaluation,buying,True,2,5,True,2,3,True,2,3,True,2,6,True,2,6,True,2,6
public_0200,evaluation,buying,True,2,1,True,1,4,True,1,4,True,1,4,True,1,4,True,1,4
