sample_id,turn,stage,clarification,intent_seed,specificity,category,typed_constraints,negations,profile_tags,asked_attributes,question,question_diagnostic,candidate_pool_size,top_10,latency_ms,oracle_joined_after_freeze,oracle_scenario_type,oracle_target_asin,diagnostic_target_rank
public_0005,1,reranker,fixed_other,buying,specific,Outdoor & Work Snow & Cold Weather,"[{""explicit"": true, ""hard"": true, ""kind"": ""material"", ""negated"": false, ""source"": ""explicit_requirement"", ""source_turn"": 1, ""strength"": 1.0, ""value"": ""leather""}]",[],"[""comfort"", ""fit"", ""style"", ""durability""]","[""other""]",other,"{""fixed"": true}",50,"[""B001AO2Y4U"", ""B004LDLVQO"", ""B004KNW8QM"", ""B0031MAI56"", ""B01N6GQYJ5"", ""B098WSZ5KD"", ""B004KNWHGS"", ""B0091GVUEE"", ""B006L2P7A4"", ""B018TA64VQ""]",20.833999995375052,True,buying,B074G1JP8Z,
public_0005,2,reranker,fixed_other,buying,specific,Outdoor & Work Snow & Cold Weather,"[{""explicit"": true, ""hard"": true, ""kind"": ""material"", ""negated"": false, ""source"": ""explicit_requirement"", ""source_turn"": 1, ""strength"": 1.0, ""value"": ""leather""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""Rubber sole""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""Shaft measures approximately 8.37\"" from arch""}]",[],"[""comfort"", ""fit"", ""style"", ""durability""]","[""other""]",other,"{""fixed"": true}",50,"[""B01N6GQYJ5"", ""B004KNWHGS"", ""B0031MAI56"", ""B01N4BN77E"", ""B004LKRJ7W"", ""B09FXYPY7T"", ""B074G1JP8Z"", ""B01ALHKQKK"", ""B002N00000"", ""B00HSZ4Q4G""]",24.288799992064014,True,buying,B074G1JP8Z,7
public_0010,1,reranker,fixed_other,buying,specific,Women Bodysuits,"[{""explicit"": true, ""hard"": true, ""kind"": ""material"", ""negated"": false, ""source"": ""explicit_requirement"", ""source_turn"": 1, ""strength"": 1.0, ""value"": ""fabric""}]",[],"[""material"", ""fit"", ""performance"", ""comfort""]","[""other""]",other,"{""fixed"": true}",50,"[""B083GB47SQ"", ""B000QW6LPK"", ""B0C6DQNQK7"", ""B000IM3ICW"", ""B0018R18HS"", ""B074DR42J6"", ""B002V8WPBG"", ""B000VA10MQ"", ""B0BBJ1S5NN"", ""B0B53H6J51""]",25.709199981065467,True,buying,B0929KL5W7,
public_0010,2,reranker,fixed_other,buying,specific,Women Bodysuits,"[{""explicit"": true, ""hard"": true, ""kind"": ""material"", ""negated"": false, ""source"": ""explicit_requirement"", ""source_turn"": 1, ""strength"": 1.0, ""value"": ""fabric""}, {""explicit"": false, ""hard"": false, ""kind"": ""material"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""Stretchy fabric: 95% modal, 5% spandex""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""Imported""}]",[],"[""material"", ""fit"", ""performance"", ""comfort""]","[""other""]",other,"{""fixed"": true}",50,"[""B0929KL5W7"", ""B09PMPGNVP"", ""B01GXQPKNG"", ""B00YIUZWBK"", ""B015OHJ1OO"", ""B01I21CI7G"", ""B015CD97KI"", ""B08H2C3NGL"", ""B002V8WPBG"", ""B093JQPT5G""]",23.078500002156943,True,buying,B0929KL5W7,1
public_0013,1,reranker,fixed_other,buying,mixed,Shoes Slippers,"[{""explicit"": false, ""hard"": false, ""kind"": ""style"", ""negated"": true, ""source"": ""ambiguous_disclosure"", ""source_turn"": 1, ""strength"": 0.7, ""value"": ""YOUR NEW FAVORITE SLIPPERS: Slip into divine comfort with Gemma, a plush mule-style spa slipper with an adjustable hook-and-loop closure across the vamp""}]",[],"[""comfort"", ""material""]","[""other""]",other,"{""fixed"": true}",75,"[""B0C65TFM9F"", ""B01N7KMQ0C"", ""B011PTO1VI"", ""B0BY1MFJBZ"", ""B09FSZ3L6Z"", ""B08TM91C69"", ""B078J57PWJ"", ""B07FNMYSD7"", ""B079FDJRPW"", ""B07X5SVSMW""]",25.0967999745626,True,intent_override,B0C65TFM9F,1
public_0013,2,reranker,fixed_other,buying,specific,Shoes Slippers,"[{""explicit"": false, ""hard"": false, ""kind"": ""style"", ""negated"": true, ""source"": ""ambiguous_disclosure"", ""source_turn"": 1, ""strength"": 0.7, ""value"": ""YOUR NEW FAVORITE SLIPPERS: Slip into divine comfort with Gemma, a plush mule-style spa slipper with an adjustable hook-and-loop closure across the vamp""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""Rubber sole""}, {""explicit"": false, ""hard"": false, ""kind"": ""color"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""Textile Upper. Textile Covered EVA Footbed. Rubber Outsole""}]",[],"[""comfort"", ""material""]","[""other""]",other,"{""fixed"": true}",50,"[""B0C65TFM9F"", ""B07MBC394L"", ""B0BY1MFJBZ"", ""B08BC7JW4Q"", ""B08DXS1L8L"", ""B07HJ18QRQ"", ""B07X5SVSMW"", ""B07GFCB8QJ"", ""B079FDJRPW"", ""B08C78VZ66""]",25.697300006868318,True,intent_override,B0C65TFM9F,1
public_0013,3,reranker,fixed_other,buying,specific,Shoes Slippers,"[{""explicit"": false, ""hard"": false, ""kind"": ""style"", ""negated"": true, ""source"": ""ambiguous_disclosure"", ""source_turn"": 1, ""strength"": 0.7, ""value"": ""YOUR NEW FAVORITE SLIPPERS: Slip into divine comfort with Gemma, a plush mule-style spa slipper with an adjustable hook-and-loop closure across the vamp""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""Rubber sole""}, {""explicit"": false, ""hard"": false, ""kind"": ""color"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""Textile Upper. Textile Covered EVA Footbed. Rubber Outsole""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 3, ""strength"": 0.7, ""value"": ""Received APMA (American Podiatric Medical Association) Seal of Acceptance""}]",[],"[""comfort"", ""material""]","[""other""]",other,"{""fixed"": true}",50,"[""B0C65TFM9F"", ""B07MBC394L"", ""B01MUBVR4C"", ""B08C78VZ66"", ""B09W8HSXPT"", ""B0BY1MFJBZ"", ""B018TJC99I"", ""B08BC7JW4Q"", ""B07X5SVSMW"", ""B071X4VZS3""]",29.254799999762326,True,intent_override,B0C65TFM9F,1
public_0013,4,reranker,fixed_other,buying,specific,Shoes Slippers,"[{""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""Rubber sole""}, {""explicit"": false, ""hard"": false, ""kind"": ""color"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""Textile Upper. Textile Covered EVA Footbed. Rubber Outsole""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 3, ""strength"": 0.7, ""value"": ""Received APMA (American Podiatric Medical Association) Seal of Acceptance""}]","[{""explicit"": true, ""hard"": true, ""kind"": ""style"", ""negated"": true, ""source"": ""negation_or_replacement"", ""source_turn"": 4, ""strength"": 1.0, ""value"": ""YOUR NEW FAVORITE SLIPPERS: Slip into divine comfort with Gemma, a plush mule-style spa slipper with an adjustable hook-and-loop closure across the vamp""}]","[""comfort"", ""material""]","[""other""]",other,"{""fixed"": true}",50,"[""B001HENC0S"", ""B014K5Z8SY"", ""B00NJXNC46"", ""B00KWKBZB6"", ""B003ICW4QK"", ""B002MUBEOC"", ""B00KWKMVM8"", ""B0C65TFM9F"", ""B01MUBVR4C"", ""B000F7STY2""]",29.283100011525676,True,intent_override,B0C65TFM9F,8
public_0021,1,reranker,fixed_other,browsing,exploratory,Men Pants,[],[],"[""material"", ""fit""]","[""other""]",other,"{""fixed"": true}",100,"[""B06XRD8TZX"", ""B08C9YTFW9"", ""B0842J3B9N"", ""B07S1LNZZH"", ""B005BVPAH6"", ""B097SM8WDS"", ""B00B6EARX4"", ""B008IW0174"", ""B00JHOP366"", ""B00DIB2IXA""]",22.002499987138435,True,browsing,B07K4FX4WZ,
public_0021,2,reranker,fixed_other,browsing,specific,Men Pants,"[{""explicit"": false, ""hard"": false, ""kind"": ""material"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""polyester""}, {""explicit"": false, ""hard"": false, ""kind"": ""material"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""98% Polyester, 2% Spandex""}]",[],"[""material"", ""fit""]","[""other""]",other,"{""fixed"": true}",50,"[""B0B1DRYPR7"", ""B07K4FX4WZ"", ""B003Y3BARC"", ""B088GVMQK8"", ""B07QTKJN1T"", ""B08M5XHWSJ"", ""B0B6VK1XNY"", ""B098RQGZN9"", ""B01C2GN4GG"", ""B09KB88LSH""]",23.709299974143505,True,browsing,B07K4FX4WZ,2
public_0022,1,reranker,fixed_other,buying,specific,Dresses Casual,"[{""explicit"": true, ""hard"": true, ""kind"": ""material"", ""negated"": false, ""source"": ""explicit_requirement"", ""source_turn"": 1, ""strength"": 1.0, ""value"": ""fabric""}]",[],"[""comfort"", ""fit"", ""style"", ""material""]","[""other""]",other,"{""fixed"": true}",50,"[""B07483YC42"", ""B01NBF7O73"", ""B088HDH339"", ""B09CTWQHL1"", ""B07DMDCNYH"", ""B07MTXG184"", ""B07QCKPNG1"", ""B0B64SWL1N"", ""B07CR7TQJV"", ""B07PCHWJFW""]",26.735899999039248,True,buying,B08F5G843H,
public_0022,2,reranker,fixed_other,buying,specific,Dresses Casual,"[{""explicit"": true, ""hard"": true, ""kind"": ""material"", ""negated"": false, ""source"": ""explicit_requirement"", ""source_turn"": 1, ""strength"": 1.0, ""value"": ""fabric""}, {""explicit"": false, ""hard"": false, ""kind"": ""material"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""Fabric: 100% Cotton, Soft, Comfy, Breathable and keep you cool""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""Imported""}]",[],"[""comfort"", ""fit"", ""style"", ""material""]","[""other""]",other,"{""fixed"": true}",50,"[""B08F5G843H"", ""B082XV7WPC"", ""B09XF84RFM"", ""B08B8BKPQS"", ""B0B64SWL1N"", ""B07W4K48V5"", ""B07QPM54V7"", ""B09CTWQHL1"", ""B09D75F31V"", ""B08L7VNW2C""]",28.31329999025911,True,buying,B08F5G843H,1
public_0025,1,reranker,fixed_other,browsing,exploratory,Rompers & Overalls Rompers,[],[],"[""material"", ""fit"", ""comfort"", ""style""]","[""other""]",other,"{""fixed"": true}",100,"[""B0859TL6QX"", ""B08DNMTZK6"", ""B09Z9351BN"", ""B09Z945FVX"", ""B078VLQ9PH"", ""B0B3RJYM8C"", ""B088NFV83H"", ""B0899QTXHP"", ""B07TBZGW7R"", ""B0912RNG8S""]",18.943399976706132,True,browsing,B0BRS1DHVQ,
public_0025,2,reranker,fixed_other,browsing,specific,Rompers & Overalls Rompers,"[{""explicit"": false, ""hard"": false, ""kind"": ""material"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""spandex""}, {""explicit"": false, ""hard"": false, ""kind"": ""material"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""65%Polyester30%Viscose5%Spandex""}]",[],"[""material"", ""fit"", ""comfort"", ""style""]","[""other""]",other,"{""fixed"": true}",50,"[""B0BRS1DHVQ"", ""B01DEE73S0"", ""B08BP84JD2"", ""B08RNTCWRP"", ""B0BR4PLQGN"", ""B07FNGN37G"", ""B07QMQMKF7"", ""B0052BAMOG"", ""B0BKWBTJ5R"", ""B0C469FVSQ""]",24.220399995101616,True,browsing,B0BRS1DHVQ,1
public_0026,1,reranker,fixed_other,buying,specific,Running Trail Running,"[{""explicit"": true, ""hard"": true, ""kind"": ""feature"", ""negated"": false, ""source"": ""explicit_requirement"", ""source_turn"": 1, ""strength"": 1.0, ""value"": ""100% Synthetic""}]",[],"[""material"", ""fit""]","[""other""]",other,"{""fixed"": true}",50,"[""B073K3Z3JM"", ""B002EQAHR4"", ""B008JEWBAG"", ""B0002M13Q6"", ""B0033PSIHQ"", ""B0039UTDFQ"", ""B00BMLXS0U"", ""B00AO3BMPU"", ""B0056EG9MS"", ""B07CZ862B2""]",20.806999993510544,True,buying,B093R14VP1,
public_0026,2,reranker,fixed_other,buying,specific,Running Trail Running,"[{""explicit"": true, ""hard"": true, ""kind"": ""feature"", ""negated"": false, ""source"": ""explicit_requirement"", ""source_turn"": 1, ""strength"": 1.0, ""value"": ""100% Synthetic""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""Imported""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""Rubber sole""}]",[],"[""material"", ""fit""]","[""other""]",other,"{""fixed"": true}",50,"[""B0002M13Q6"", ""B008JEWBAG"", ""B00BMLXS0U"", ""B073K3Z3JM"", ""B093R14VP1"", ""B00B9TVIBQ"", ""B00KXIMWVY"", ""B008JFE84W"", ""B07CZ862B2"", ""B00GUTG3SS""]",24.855800002114847,True,buying,B093R14VP1,5
public_0028,1,reranker,fixed_other,buying,specific,Card Cases & Money Organizers Wallets,"[{""explicit"": true, ""hard"": true, ""kind"": ""material"", ""negated"": false, ""source"": ""explicit_requirement"", ""source_turn"": 1, ""strength"": 1.0, ""value"": ""leather""}]",[],"[""material"", ""fit""]","[""other""]",other,"{""fixed"": true}",50,"[""B0009WOM76"", ""B00BRSVXFK"", ""B008KWRQ48"", ""B00793M0Z4"", ""B006UTCYWM"", ""B0051XTYKI"", ""B00CDWJ3B0"", ""B002JIO3RC"", ""B00AT8IWWQ"", ""B008UZO4KO""]",24.04180000303313,True,buying,B0B9ZYDDZ1,
public_0028,2,reranker,fixed_other,buying,specific,Card Cases & Money Organizers Wallets,"[{""explicit"": true, ""hard"": true, ""kind"": ""material"", ""negated"": false, ""source"": ""explicit_requirement"", ""source_turn"": 1, ""strength"": 1.0, ""value"": ""leather""}, {""explicit"": false, ""hard"": false, ""kind"": ""color"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""color: black""}, {""explicit"": false, ""hard"": false, ""kind"": ""material"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""Leather""}]",[],"[""material"", ""fit""]","[""other""]",other,"{""fixed"": true}",50,"[""B00793M0Z4"", ""B008UZO4KO"", ""B008KWRQ48"", ""B007IW47FC"", ""B002JIO3RC"", ""B008LMNKYW"", ""B01NAAWLXP"", ""B014KPGIG0"", ""B00J41RHOI"", ""B0099NSYPM""]",27.44209999218583,True,buying,B0B9ZYDDZ1,
public_0028,3,reranker,fixed_other,buying,specific,Card Cases & Money Organizers Wallets,"[{""explicit"": true, ""hard"": true, ""kind"": ""material"", ""negated"": false, ""source"": ""explicit_requirement"", ""source_turn"": 1, ""strength"": 1.0, ""value"": ""leather""}, {""explicit"": false, ""hard"": false, ""kind"": ""color"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""color: black""}, {""explicit"": false, ""hard"": false, ""kind"": ""material"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""Leather""}, {""explicit"": false, ""hard"": false, ""kind"": ""material"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 3, ""strength"": 0.7, ""value"": ""Polyester lining""}]",[],"[""material"", ""fit""]","[""other""]",other,"{""fixed"": true}",50,"[""B08172T8MD"", ""B07SQFLSGJ"", ""B008KWRQ48"", ""B00793M0Z4"", ""B008UZO4KO"", ""B014KPGIG0"", ""B07NVXYHLX"", ""B00X6OGGTG"", ""B002JIO3RC"", ""B0099NSYPM""]",27.77110002352856,True,buying,B0B9ZYDDZ1,
