sample_id,first_message,detected_route,expected_route_after_freeze,correct,route_locked_all_turns,oracle_scenario_type
public_0138,"I'm looking for Tees & Blouses Tunics, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0139,"I'm looking for Tees & Blouses T-Shirts, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0140,"I'm looking for Suiting & Blazers Blazers, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0141,"I'm looking for Piercing Jewelry Screws, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0142,"I'm looking for Bracelets Link. Bracelet Size: Length-8.34 inch, width-0.4 inch, weight: 54g. smooth chain, lightweight and comfortable to wear, perfect for bike enthusiasts etc",buying,buying,True,True,intent_override
public_0143,I'm looking for Dresses Work. A key requirement is: rayon.,buying,buying,True,True,buying
public_0144,I'm looking for Jackets & Vests Down Jackets & Parkas. Zipper closure,buying,buying,True,True,intent_override
public_0145,I'm looking for Active Athletic Socks. A key requirement is: cotton.,buying,buying,True,True,buying
public_0146,I'm looking for Women Dresses. A key requirement is: rayon.,buying,buying,True,True,buying
public_0147,"I'm looking for Sleep & Lounge Lingerie, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0148,I'm looking for Panties Bikinis. A key requirement is: cotton.,buying,buying,True,True,buying
public_0149,I'm looking for Backpacks Casual Daypacks. A key requirement is: leather.,buying,buying,True,True,buying
public_0150,"I'm looking for Medical Scrub Jackets, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0151,"I'm looking for Outdoor & Work Work & Safety, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0152,I'm looking for Watches Wrist Watches. A key requirement is: leather.,buying,buying,True,True,buying
public_0153,"I'm looking for Boots Ankle & Bootie, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0154,I'm looking for Bras Everyday Bras. A key requirement is: cotton.,buying,buying,True,True,buying
public_0155,I'm looking for Hats & Caps Sun Hats. A key requirement is: polyester.,buying,buying,True,True,buying
public_0156,I'm looking for Gym Bags Drawstring Bags. A key requirement is: Easy cinch opening with durable cording.,buying,buying,True,True,buying
public_0157,I'm looking for Outdoor & Work Snow & Cold Weather. A key requirement is: nylon.,buying,buying,True,True,buying
public_0158,"I'm looking for Men Masks, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0159,I'm looking for Sleep & Lounge Sleep Bottoms. A key requirement is: cotton.,buying,buying,True,True,buying
public_0160,I'm looking for Travel Accessories Packing Organizers. A key requirement is: fabric.,buying,buying,True,True,buying
public_0161,I'm looking for Tees & Blouses T-Shirts. A key requirement is: cotton.,buying,buying,True,True,buying
public_0162,"I'm looking for Women Dresses, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0163,I'm looking for Athletic Walking. A key requirement is: fabric.,buying,buying,True,True,buying
public_0164,"I'm looking for Watches Watch Bands, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0165,I'm looking for Watches Watch Bands. A key requirement is: leather.,buying,buying,True,True,buying
public_0166,I'm looking for Boots Rain. Women's-specific last is designed to match the contours of women's feet,buying,buying,True,True,intent_override
public_0167,"I'm looking for Bras Sports Bras, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0168,"I'm looking for Necklaces & Pendants Pendants. A key requirement is: Mother Daughter Bracelets - Heart bracelet on card meaning “Never Truly Part,Maybe in Distance,But Never in Heart”. All daughters love their mom, but sometimes we just forget to sa.",buying,buying,True,True,buying
public_0169,"I'm looking for Women Jeans, but I'm still exploring.",browsing,browsing,True,True,boundary
public_0170,"I'm looking for Fashion Combat, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0171,I'm looking for Bikinis Sets. A key requirement is: nylon.,buying,buying,True,True,buying
public_0172,"I'm looking for Shoes Fashion Sneakers, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0173,"I'm looking for Athletic Water Shoes, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0174,I'm looking for Sleep & Lounge Robes. A key requirement is: polyester.,buying,buying,True,True,buying
public_0175,"I'm looking for Men Jeans, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0176,"I'm looking for Luggage & Travel Gear Waist Packs, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0177,I'm looking for Tops Tees & Blouses. Button closure,buying,buying,True,True,intent_override
public_0178,I'm looking for Shirts T-Shirts. A key requirement is: cotton.,buying,buying,True,True,buying
public_0179,I'm looking for Tees & Blouses Tunics. A key requirement is: spandex.,buying,buying,True,True,buying
public_0180,"I'm looking for Shoes Fashion Sneakers, but I'm still exploring.",browsing,browsing,True,True,boundary
public_0181,"I'm looking for Sets Tracksuits, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0182,"I'm looking for Card & ID Cases Card Cases, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0183,I'm looking for Jackets & Vests Vests. Hand Wash Only,buying,buying,True,True,intent_override
public_0184,"I'm looking for Sunglasses & Eyewear Accessories Sunglasses, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0185,I'm looking for Panties Boy Shorts. A key requirement is: cotton.,buying,buying,True,True,buying
public_0186,I'm looking for Running Road Running. Ortholite Sockliner: Moisture management (Ortholite is a registered trademark of O2 Partners LLC),buying,buying,True,True,intent_override
public_0187,"I'm looking for Shoes Loafers & Slip-Ons, but I'm still exploring.",browsing,browsing,True,True,boundary
public_0188,I'm looking for Handbags & Wallets Crossbody Bags. A key requirement is: leather.,buying,buying,True,True,buying
public_0189,I'm looking for Shorts Denim. A key requirement is: cotton.,buying,buying,True,True,buying
public_0190,I'm looking for Medical Scrub Bottoms. A key requirement is: polyester.,buying,buying,True,True,buying
public_0191,"I'm looking for Men Active, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0192,"I'm looking for Athletic Sport Sandals & Slides, but I'm still exploring.",browsing,browsing,True,True,boundary
public_0193,I'm looking for Scarves & Wraps Fashion Scarves. A key requirement is: fabric.,buying,buying,True,True,buying
public_0194,I'm looking for Tees & Blouses T-Shirts. A key requirement is: rayon.,buying,buying,True,True,buying
public_0195,"I'm looking for Tees & Blouses Blouses & Button-Down Shirts, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0196,"I'm looking for Shoes Flats, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0197,"I'm looking for Watch Accessories Repair Tools & Kits. VALUE KIT FOR MONEY SAVING - This watch band link remover is great for removing and inserting spring bars straps, and widely used in up to 30mm wide watch band replace, watch repai",buying,buying,True,True,intent_override
public_0198,I'm looking for Handbags & Wallets Crossbody Bags. Imported,buying,buying,True,True,intent_override
public_0199,I'm looking for Underwear Briefs. A key requirement is: cotton.,buying,buying,True,True,buying
public_0200,I'm looking for Shoes & Jewelry Men. A key requirement is: Ethylene Vinyl Acetate sole.,buying,buying,True,True,buying
