sample_id,scenario_type,constraint_position,constraint,field,occurs_exactly_in_target_field,all_matching_fields,matching_field_count,category_only_target_rank,with_constraint_target_rank,rank_improvement,oracle_only
public_0001,buying,4,"♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th",description,False,"[""features""]",1,407,1105,-698,True
public_0001,buying,4,"♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th",categories,False,"[""features""]",1,853,1442,-589,True
public_0001,buying,4,"♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th",store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0001,buying,4,"♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th",price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0002,intent_override,1,leather,title,True,"[""title"", ""features""]",2,102,41,61,True
public_0002,intent_override,1,leather,features,True,"[""title"", ""features""]",2,109,38,71,True
public_0002,intent_override,1,leather,details,False,"[""title"", ""features""]",2,not_retrieved,not_retrieved,,True
public_0002,intent_override,1,leather,description,False,"[""title"", ""features""]",2,not_retrieved,not_retrieved,,True
public_0002,intent_override,1,leather,categories,False,"[""title"", ""features""]",2,57,57,0,True
public_0002,intent_override,1,leather,store,False,"[""title"", ""features""]",2,not_retrieved,not_retrieved,,True
public_0002,intent_override,1,leather,price,False,"[""title"", ""features""]",2,not_retrieved,not_retrieved,,True
public_0002,intent_override,2,100% Leather,title,False,"[""features""]",1,102,49,53,True
public_0002,intent_override,2,100% Leather,features,True,"[""features""]",1,109,35,74,True
public_0002,intent_override,2,100% Leather,details,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0002,intent_override,2,100% Leather,description,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0002,intent_override,2,100% Leather,categories,False,"[""features""]",1,57,65,-8,True
public_0002,intent_override,2,100% Leather,store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0002,intent_override,2,100% Leather,price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0002,intent_override,3,Imported,title,False,"[""features""]",1,102,105,-3,True
public_0002,intent_override,3,Imported,features,True,"[""features""]",1,109,92,17,True
public_0002,intent_override,3,Imported,details,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0002,intent_override,3,Imported,description,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0002,intent_override,3,Imported,categories,False,"[""features""]",1,57,57,0,True
public_0002,intent_override,3,Imported,store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0002,intent_override,3,Imported,price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0002,intent_override,4,Buckle closure,title,False,"[""features""]",1,102,219,-117,True
public_0002,intent_override,4,Buckle closure,features,True,"[""features""]",1,109,49,60,True
public_0002,intent_override,4,Buckle closure,details,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0002,intent_override,4,Buckle closure,description,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0002,intent_override,4,Buckle closure,categories,False,"[""features""]",1,57,57,0,True
public_0002,intent_override,4,Buckle closure,store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0002,intent_override,4,Buckle closure,price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0003,intent_override,1,Water Resistant,title,False,"[""features""]",1,55,162,-107,True
public_0003,intent_override,1,Water Resistant,features,True,"[""features""]",1,not_retrieved,126,,True
public_0003,intent_override,1,Water Resistant,details,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0003,intent_override,1,Water Resistant,description,False,"[""features""]",1,not_retrieved,2007,,True
public_0003,intent_override,1,Water Resistant,categories,False,"[""features""]",1,1007,1007,0,True
public_0003,intent_override,1,Water Resistant,store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0003,intent_override,1,Water Resistant,price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0003,intent_override,2,3 Year Battery,title,False,"[""features""]",1,55,74,-19,True
public_0003,intent_override,2,3 Year Battery,features,True,"[""features""]",1,not_retrieved,7,,True
public_0003,intent_override,2,3 Year Battery,details,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0003,intent_override,2,3 Year Battery,description,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0003,intent_override,2,3 Year Battery,categories,False,"[""features""]",1,1007,1007,0,True
public_0003,intent_override,2,3 Year Battery,store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0003,intent_override,2,3 Year Battery,price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0003,intent_override,3,Day / Date Indicator,title,False,"[""features""]",1,55,87,-32,True
public_0003,intent_override,3,Day / Date Indicator,features,True,"[""features""]",1,not_retrieved,1,,True
public_0003,intent_override,3,Day / Date Indicator,details,False,"[""features""]",1,not_retrieved,45346,,True
public_0003,intent_override,3,Day / Date Indicator,description,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0003,intent_override,3,Day / Date Indicator,categories,False,"[""features""]",1,1007,1008,-1,True
public_0003,intent_override,3,Day / Date Indicator,store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0003,intent_override,3,Day / Date Indicator,price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0003,intent_override,4,Stainless Steel Band,title,False,"[""features""]",1,55,578,-523,True
public_0003,intent_override,4,Stainless Steel Band,features,True,"[""features""]",1,not_retrieved,32,,True
public_0003,intent_override,4,Stainless Steel Band,details,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0003,intent_override,4,Stainless Steel Band,description,False,"[""features""]",1,not_retrieved,1661,,True
public_0003,intent_override,4,Stainless Steel Band,categories,False,"[""features""]",1,1007,1007,0,True
public_0003,intent_override,4,Stainless Steel Band,store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0003,intent_override,4,Stainless Steel Band,price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0004,intent_override,1,polyester,title,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0004,intent_override,1,polyester,features,True,"[""features""]",1,not_retrieved,4156,,True
public_0004,intent_override,1,polyester,details,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0004,intent_override,1,polyester,description,False,"[""features""]",1,762,1705,-943,True
public_0004,intent_override,1,polyester,categories,False,"[""features""]",1,459,459,0,True
public_0004,intent_override,1,polyester,store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0004,intent_override,1,polyester,price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0004,intent_override,2,"Polyester,Cotton,Spandex",title,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0004,intent_override,2,"Polyester,Cotton,Spandex",features,True,"[""features""]",1,not_retrieved,266,,True
public_0004,intent_override,2,"Polyester,Cotton,Spandex",details,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0004,intent_override,2,"Polyester,Cotton,Spandex",description,False,"[""features""]",1,762,950,-188,True
public_0004,intent_override,2,"Polyester,Cotton,Spandex",categories,False,"[""features""]",1,459,459,0,True
public_0004,intent_override,2,"Polyester,Cotton,Spandex",store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0004,intent_override,2,"Polyester,Cotton,Spandex",price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0004,intent_override,3,"Quality soft cottonblend camisole, 95% cotton, 5% spandex, Neon Colors 57% cotton 38% polyester 5% spandex",title,False,"[""features""]",1,not_retrieved,649,,True
public_0004,intent_override,3,"Quality soft cottonblend camisole, 95% cotton, 5% spandex, Neon Colors 57% cotton 38% polyester 5% spandex",features,True,"[""features""]",1,not_retrieved,1,,True
public_0004,intent_override,3,"Quality soft cottonblend camisole, 95% cotton, 5% spandex, Neon Colors 57% cotton 38% polyester 5% spandex",details,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0004,intent_override,3,"Quality soft cottonblend camisole, 95% cotton, 5% spandex, Neon Colors 57% cotton 38% polyester 5% spandex",description,False,"[""features""]",1,762,61,701,True
public_0004,intent_override,3,"Quality soft cottonblend camisole, 95% cotton, 5% spandex, Neon Colors 57% cotton 38% polyester 5% spandex",categories,False,"[""features""]",1,459,459,0,True
public_0004,intent_override,3,"Quality soft cottonblend camisole, 95% cotton, 5% spandex, Neon Colors 57% cotton 38% polyester 5% spandex",store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0004,intent_override,3,"Quality soft cottonblend camisole, 95% cotton, 5% spandex, Neon Colors 57% cotton 38% polyester 5% spandex",price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0004,intent_override,4,Long torso camisole for extra coverage with spagetti adjustable strap for perfect fit,title,False,"[""features""]",1,not_retrieved,8,,True
public_0004,intent_override,4,Long torso camisole for extra coverage with spagetti adjustable strap for perfect fit,features,True,"[""features""]",1,not_retrieved,1,,True
public_0004,intent_override,4,Long torso camisole for extra coverage with spagetti adjustable strap for perfect fit,details,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0004,intent_override,4,Long torso camisole for extra coverage with spagetti adjustable strap for perfect fit,description,False,"[""features""]",1,762,35,727,True
public_0004,intent_override,4,Long torso camisole for extra coverage with spagetti adjustable strap for perfect fit,categories,False,"[""features""]",1,459,461,-2,True
public_0004,intent_override,4,Long torso camisole for extra coverage with spagetti adjustable strap for perfect fit,store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0004,intent_override,4,Long torso camisole for extra coverage with spagetti adjustable strap for perfect fit,price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0005,buying,1,leather,title,False,"[""features""]",1,359,440,-81,True
public_0005,buying,1,leather,features,True,"[""features""]",1,19,11,8,True
public_0005,buying,1,leather,details,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0005,buying,1,leather,description,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0005,buying,1,leather,categories,False,"[""features""]",1,141,141,0,True
public_0005,buying,1,leather,store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0005,buying,1,leather,price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0005,buying,2,Rubber sole,title,False,"[""features""]",1,359,562,-203,True
public_0005,buying,2,Rubber sole,features,True,"[""features""]",1,19,7,12,True
public_0005,buying,2,Rubber sole,details,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0005,buying,2,Rubber sole,description,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0005,buying,2,Rubber sole,categories,False,"[""features""]",1,141,141,0,True
public_0005,buying,2,Rubber sole,store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0005,buying,2,Rubber sole,price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0005,buying,3,"Shaft measures approximately 8.37"" from arch",title,False,"[""features""]",1,359,534,-175,True
public_0005,buying,3,"Shaft measures approximately 8.37"" from arch",features,True,"[""features""]",1,19,12,7,True
public_0005,buying,3,"Shaft measures approximately 8.37"" from arch",details,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0005,buying,3,"Shaft measures approximately 8.37"" from arch",description,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0005,buying,3,"Shaft measures approximately 8.37"" from arch",categories,False,"[""features""]",1,141,141,0,True
public_0005,buying,3,"Shaft measures approximately 8.37"" from arch",store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0005,buying,3,"Shaft measures approximately 8.37"" from arch",price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0005,buying,4,Warm And Comfortable Women’s Winter Boots: These Women Winter Boots Featuring Thermolite Insulation Rated To -15F. Fully Lined With Soft Faux Fur To Keep The Feet Warm All Day Long,title,False,"[""features""]",1,359,195,164,True
public_0005,buying,4,Warm And Comfortable Women’s Winter Boots: These Women Winter Boots Featuring Thermolite Insulation Rated To -15F. Fully Lined With Soft Faux Fur To Keep The Feet Warm All Day Long,features,True,"[""features""]",1,19,1,18,True
public_0005,buying,4,Warm And Comfortable Women’s Winter Boots: These Women Winter Boots Featuring Thermolite Insulation Rated To -15F. Fully Lined With Soft Faux Fur To Keep The Feet Warm All Day Long,details,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0005,buying,4,Warm And Comfortable Women’s Winter Boots: These Women Winter Boots Featuring Thermolite Insulation Rated To -15F. Fully Lined With Soft Faux Fur To Keep The Feet Warm All Day Long,description,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0005,buying,4,Warm And Comfortable Women’s Winter Boots: These Women Winter Boots Featuring Thermolite Insulation Rated To -15F. Fully Lined With Soft Faux Fur To Keep The Feet Warm All Day Long,categories,False,"[""features""]",1,141,87,54,True
public_0005,buying,4,Warm And Comfortable Women’s Winter Boots: These Women Winter Boots Featuring Thermolite Insulation Rated To -15F. Fully Lined With Soft Faux Fur To Keep The Feet Warm All Day Long,store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0005,buying,4,Warm And Comfortable Women’s Winter Boots: These Women Winter Boots Featuring Thermolite Insulation Rated To -15F. Fully Lined With Soft Faux Fur To Keep The Feet Warm All Day Long,price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0006,browsing,1,polyester,title,False,"[""features""]",1,14,18,-4,True
public_0006,browsing,1,polyester,features,True,"[""features""]",1,not_retrieved,6223,,True
public_0006,browsing,1,polyester,details,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0006,browsing,1,polyester,description,False,"[""features""]",1,1213,1935,-722,True
public_0006,browsing,1,polyester,categories,False,"[""features""]",1,9,9,0,True
public_0006,browsing,1,polyester,store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0006,browsing,1,polyester,price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0006,browsing,2,100% Polyester,title,False,"[""features""]",1,14,23,-9,True
public_0006,browsing,2,100% Polyester,features,True,"[""features""]",1,not_retrieved,3183,,True
public_0006,browsing,2,100% Polyester,details,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0006,browsing,2,100% Polyester,description,False,"[""features""]",1,1213,2734,-1521,True
public_0006,browsing,2,100% Polyester,categories,False,"[""features""]",1,9,17,-8,True
public_0006,browsing,2,100% Polyester,store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0006,browsing,2,100% Polyester,price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0006,browsing,3,Drawstring closure,title,False,"[""features""]",1,14,16,-2,True
public_0006,browsing,3,Drawstring closure,features,True,"[""features""]",1,not_retrieved,499,,True
public_0006,browsing,3,Drawstring closure,details,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0006,browsing,3,Drawstring closure,description,False,"[""features""]",1,1213,2103,-890,True
public_0006,browsing,3,Drawstring closure,categories,False,"[""features""]",1,9,9,0,True
public_0006,browsing,3,Drawstring closure,store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0006,browsing,3,Drawstring closure,price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0006,browsing,4,High quality mesh for maximum breathability to keep you cool,title,False,"[""features""]",1,14,2,12,True
public_0006,browsing,4,High quality mesh for maximum breathability to keep you cool,features,True,"[""features""]",1,not_retrieved,1,,True
public_0006,browsing,4,High quality mesh for maximum breathability to keep you cool,details,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0006,browsing,4,High quality mesh for maximum breathability to keep you cool,description,False,"[""features""]",1,1213,5134,-3921,True
public_0006,browsing,4,High quality mesh for maximum breathability to keep you cool,categories,False,"[""features""]",1,9,29,-20,True
public_0006,browsing,4,High quality mesh for maximum breathability to keep you cool,store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0006,browsing,4,High quality mesh for maximum breathability to keep you cool,price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0007,browsing,1,polyester,title,False,"[""features""]",1,29,34,-5,True
public_0007,browsing,1,polyester,features,True,"[""features""]",1,not_retrieved,7678,,True
public_0007,browsing,1,polyester,details,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0007,browsing,1,polyester,description,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0007,browsing,1,polyester,categories,False,"[""features""]",1,398,398,0,True
public_0007,browsing,1,polyester,store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0007,browsing,1,polyester,price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0007,browsing,2,"75% Polyester, 20% Rayon, 5% Spandex",title,False,"[""features""]",1,29,44,-15,True
public_0007,browsing,2,"75% Polyester, 20% Rayon, 5% Spandex",features,True,"[""features""]",1,not_retrieved,91,,True
public_0007,browsing,2,"75% Polyester, 20% Rayon, 5% Spandex",details,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0007,browsing,2,"75% Polyester, 20% Rayon, 5% Spandex",description,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0007,browsing,2,"75% Polyester, 20% Rayon, 5% Spandex",categories,False,"[""features""]",1,398,401,-3,True
public_0007,browsing,2,"75% Polyester, 20% Rayon, 5% Spandex",store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0007,browsing,2,"75% Polyester, 20% Rayon, 5% Spandex",price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0007,browsing,3,Imported,title,False,"[""features""]",1,29,31,-2,True
public_0007,browsing,3,Imported,features,True,"[""features""]",1,not_retrieved,14446,,True
public_0007,browsing,3,Imported,details,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0007,browsing,3,Imported,description,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0007,browsing,3,Imported,categories,False,"[""features""]",1,398,398,0,True
public_0007,browsing,3,Imported,store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0007,browsing,3,Imported,price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0007,browsing,4,Pull On closure,title,False,"[""features""]",1,29,111,-82,True
public_0007,browsing,4,Pull On closure,features,True,"[""features""]",1,not_retrieved,8313,,True
public_0007,browsing,4,Pull On closure,details,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0007,browsing,4,Pull On closure,description,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0007,browsing,4,Pull On closure,categories,False,"[""features""]",1,398,398,0,True
public_0007,browsing,4,Pull On closure,store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0007,browsing,4,Pull On closure,price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0008,buying,1,nylon,title,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0008,buying,1,nylon,features,True,"[""features""]",1,1031,145,886,True
public_0008,buying,1,nylon,details,False,"[""features""]",1,3,3,0,True
public_0008,buying,1,nylon,description,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0008,buying,1,nylon,categories,False,"[""features""]",1,227,227,0,True
public_0008,buying,1,nylon,store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0008,buying,1,nylon,price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0008,buying,2,"96% Nylon, 4% Spandex",title,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0008,buying,2,"96% Nylon, 4% Spandex",features,True,"[""features""]",1,1031,33,998,True
public_0008,buying,2,"96% Nylon, 4% Spandex",details,False,"[""features""]",1,3,9,-6,True
public_0008,buying,2,"96% Nylon, 4% Spandex",description,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0008,buying,2,"96% Nylon, 4% Spandex",categories,False,"[""features""]",1,227,227,0,True
public_0008,buying,2,"96% Nylon, 4% Spandex",store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0008,buying,2,"96% Nylon, 4% Spandex",price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0008,buying,3,Pull-On closure,title,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0008,buying,3,Pull-On closure,features,True,"[""features""]",1,1031,3168,-2137,True
public_0008,buying,3,Pull-On closure,details,False,"[""features""]",1,3,138,-135,True
public_0008,buying,3,Pull-On closure,description,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0008,buying,3,Pull-On closure,categories,False,"[""features""]",1,227,227,0,True
public_0008,buying,3,Pull-On closure,store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0008,buying,3,Pull-On closure,price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0008,buying,4,Hand Wash Only,title,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0008,buying,4,Hand Wash Only,features,True,"[""features""]",1,1031,2613,-1582,True
public_0008,buying,4,Hand Wash Only,details,False,"[""features""]",1,3,59,-56,True
public_0008,buying,4,Hand Wash Only,description,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0008,buying,4,Hand Wash Only,categories,False,"[""features""]",1,227,227,0,True
public_0008,buying,4,Hand Wash Only,store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0008,buying,4,Hand Wash Only,price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0009,buying,1,leather,title,True,"[""title"", ""features""]",2,159,87,72,True
public_0009,buying,1,leather,features,True,"[""title"", ""features""]",2,not_retrieved,5838,,True
public_0009,buying,1,leather,details,False,"[""title"", ""features""]",2,not_retrieved,not_retrieved,,True
public_0009,buying,1,leather,description,False,"[""title"", ""features""]",2,not_retrieved,not_retrieved,,True
public_0009,buying,1,leather,categories,False,"[""title"", ""features""]",2,78,78,0,True
public_0009,buying,1,leather,store,False,"[""title"", ""features""]",2,not_retrieved,not_retrieved,,True
public_0009,buying,1,leather,price,False,"[""title"", ""features""]",2,not_retrieved,not_retrieved,,True
public_0009,buying,2,Soft Washed PU Leather with Convenient side Pockets,title,False,"[""features""]",1,159,13,146,True
public_0009,buying,2,Soft Washed PU Leather with Convenient side Pockets,features,True,"[""features""]",1,not_retrieved,4,,True
public_0009,buying,2,Soft Washed PU Leather with Convenient side Pockets,details,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0009,buying,2,Soft Washed PU Leather with Convenient side Pockets,description,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0009,buying,2,Soft Washed PU Leather with Convenient side Pockets,categories,False,"[""features""]",1,78,78,0,True
public_0009,buying,2,Soft Washed PU Leather with Convenient side Pockets,store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0009,buying,2,Soft Washed PU Leather with Convenient side Pockets,price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0009,buying,3,Imported,title,False,"[""features""]",1,159,162,-3,True
public_0009,buying,3,Imported,features,True,"[""features""]",1,not_retrieved,14600,,True
public_0009,buying,3,Imported,details,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0009,buying,3,Imported,description,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0009,buying,3,Imported,categories,False,"[""features""]",1,78,78,0,True
public_0009,buying,3,Imported,store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0009,buying,3,Imported,price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0009,buying,4,Adjustable and Removable Shoulder Strap,title,False,"[""features""]",1,159,141,18,True
public_0009,buying,4,Adjustable and Removable Shoulder Strap,features,True,"[""features""]",1,not_retrieved,88,,True
public_0009,buying,4,Adjustable and Removable Shoulder Strap,details,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0009,buying,4,Adjustable and Removable Shoulder Strap,description,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0009,buying,4,Adjustable and Removable Shoulder Strap,categories,False,"[""features""]",1,78,82,-4,True
public_0009,buying,4,Adjustable and Removable Shoulder Strap,store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0009,buying,4,Adjustable and Removable Shoulder Strap,price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0010,buying,1,fabric,title,False,"[""features""]",1,8647,8744,-97,True
public_0010,buying,1,fabric,features,True,"[""features""]",1,6,4,2,True
